file_TGT,onset_TGT,offset_TGT,file_OTH,onset_OTH,offset_OTH,file_X,onset_X,offset_X
../wav/amelia_consonants.wav,96.171570,96.842500,../wav/amelia_consonants.wav,2.541720,3.116380,../wav/ewan.wav,246.862500,247.372500
../wav/amelia_consonants.wav,96.171570,96.842500,../wav/amelia_consonants.wav,2.541720,3.116380,../wav/ewan.wav,244.402500,244.972500
../wav/amelia_consonants.wav,96.171570,96.842500,../wav/amelia_consonants.wav,2.541720,3.116380,../wav/ewan.wav,241.752500,242.282500
../wav/amelia_consonants.wav,96.171570,96.842500,../wav/amelia_consonants.wav,2.541720,3.116380,../wav/ewan.wav,238.912500,239.482500
../wav/amelia_consonants.wav,93.758290,94.472500,../wav/amelia_consonants.wav,5.009970,5.586070,../wav/ewan.wav,241.752500,242.282500
../wav/amelia_consonants.wav,96.171570,96.842500,../wav/amelia_consonants.wav,5.009970,5.586070,../wav/ewan.wav,244.402500,244.972500
../wav/amelia_consonants.wav,96.171570,96.842500,../wav/amelia_consonants.wav,5.009970,5.586070,../wav/ewan.wav,246.862500,247.372500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,2.541720,3.116380,../wav/ewan.wav,238.912500,239.482500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,7.313590,7.932510,../wav/ewan.wav,241.752500,242.282500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,9.591780,10.170640,../wav/ewan.wav,246.862500,247.372500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,9.591780,10.170640,../wav/ewan.wav,244.402500,244.972500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,9.591780,10.170640,../wav/ewan.wav,241.752500,242.282500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,7.313590,7.932510,../wav/ewan.wav,244.402500,244.972500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,2.541720,3.116380,../wav/ewan.wav,238.912500,239.482500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,2.541720,3.116380,../wav/ewan.wav,241.752500,242.282500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,2.541720,3.116380,../wav/ewan.wav,244.402500,244.972500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,2.541720,3.116380,../wav/ewan.wav,246.862500,247.372500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,5.009970,5.586070,../wav/ewan.wav,238.912500,239.482500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,5.009970,5.586070,../wav/ewan.wav,241.752500,242.282500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,5.009970,5.586070,../wav/ewan.wav,246.862500,247.372500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,7.313590,7.932510,../wav/ewan.wav,238.912500,239.482500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,9.591780,10.170640,../wav/ewan.wav,238.912500,239.482500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,7.313590,7.932510,../wav/ewan.wav,246.862500,247.372500
../wav/amelia_consonants.wav,91.354990,92.112500,../wav/amelia_consonants.wav,5.009970,5.586070,../wav/ewan.wav,244.402500,244.972500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,9.591780,10.170640,../wav/ewan.wav,244.402500,244.972500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,2.541720,3.116380,../wav/ewan.wav,246.862500,247.372500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,2.541720,3.116380,../wav/ewan.wav,244.402500,244.972500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,9.591780,10.170640,../wav/ewan.wav,246.862500,247.372500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,2.541720,3.116380,../wav/ewan.wav,241.752500,242.282500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,5.009970,5.586070,../wav/ewan.wav,241.752500,242.282500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,5.009970,5.586070,../wav/ewan.wav,244.402500,244.972500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,5.009970,5.586070,../wav/ewan.wav,246.862500,247.372500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,7.313590,7.932510,../wav/ewan.wav,241.752500,242.282500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,7.313590,7.932510,../wav/ewan.wav,244.402500,244.972500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,7.313590,7.932510,../wav/ewan.wav,246.862500,247.372500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,9.591780,10.170640,../wav/ewan.wav,238.912500,239.482500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,9.591780,10.170640,../wav/ewan.wav,241.752500,242.282500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,7.313590,7.932510,../wav/ewan.wav,238.912500,239.482500
../wav/amelia_consonants.wav,89.148160,89.822500,../wav/amelia_consonants.wav,5.009970,5.586070,../wav/ewan.wav,238.912500,239.482500
../wav/amelia_consonants.wav,93.758290,94.472500,../wav/amelia_consonants.wav,110.117540,110.782500,../wav/ewan.wav,238.912500,239.482500
../wav/amelia_consonants.wav,93.758290,94.472500,../wav/amelia_consonants.wav,110.117540,110.782500,../wav/ewan.wav,241.752500,242.282500
